(15, 'KCXDYP', '2019-06-07 01:49:07', '1232', 'JPY', '987654321', 52802),
(16, 'LH6L94', '2019-01-19 19:58:36', '2234', 'EUR', '722003936', 36703),
(17, 'J3ZG77', '2020-05-27 21:39:22', '5404', 'AUD', '123456789', 87432),
(18, 'L3DUGM', '2016-12-29 19:38:29', '9487', 'AUD', '722003936', 98182),
(19, 'G1YCRS', '2018-04-27 07:35:49', '5623', 'CHF', '384560942', 41370),
(20, 'J0C1E1', '2021-06-02 17:14:56', '4040', 'AUD', '123456789', 74232),
(21, 'GI3BQD', '2020-09-19 12:59:14', '4864', 'NZD', '722003936', 44477),
(22, 'TNSCVT', '2020-07-11 01:40:04', '8811', 'CHF', '987654321', 74528),
(23, 'Q505QY', '2016-03-04 13:45:46', '5719', 'JPY', '123456789', 88794),
(24, '6J12OX', '2021-02-07 03:04:48', '6094', 'JPY', '987654321', 82436),
(25, '774R22', '2019-01-21 06:18:26', '3348', 'CHF', '384560942', 21358),
(26, 'HQCZTX', '2021-06-05 21:39:18', '7768', 'JPY', '632032348', 94591),
(27, 'ZF7Z9A', '2017-07-20 14:22:32', '2162', 'JPY', '347662454', 72900),
(28, 'EQZE97', '2019-10-05 15:06:53', '9698', 'AUD', '632032348', 72304),
(29, 'LTVK2L', '2020-06-09 23:19:30', '5344', 'NZD', '384560942', 50663),
(30, 'GAZX8P', '2016-01-02 05:43:48', '9204', 'NZD', '384560942', 7472),
(31, '1QBW7M', '2020-12-01 03:06:20', '6403', 'AUD', '987654321', 5193),
(32, 'IXJL4X', '2019-01-25 12:38:31', '7158', 'AUD', '347662454', 4889),
(33, '9KMPK9', '2017-02-10 21:21:26', '4244', 'CHF', '632032348', 28175),
(34, '34EC8D', '2020-10-29 06:13:22', '8139', 'CHF', '123456789', 62189),
(35, 'BIZSRL', '2019-01-17 00:36:48', '7597', 'NZD', '347662454', 76988),
(36, '88Q4QG', '2018-09-22 18:00:35', '7023', 'EUR', '987654321', 77426),
(37, '1NFYN4', '2018-07-29 19:25:06', '3326', 'JPY', '123456789', 92224),
(38, 'WRLSR8', '2019-01-07 11:12:56', '7654', 'NZD', '347662454', 80438),
(39, '80SZJD', '2018-09-08 14:03:38', '4313', 'EUR', '722003936', 86060),
(40, '9DH3FA', '2019-10-16 09:59:39', '4201', 'EUR', '384560942', 57740),
(41, 'IB3ELL', '2021-11-09 04:16:01', '2746', 'USD', '722003936', 9603),
(42, '1CT3SJ', '2018-06-09 04:18:43', '1400', 'CAD', '987654321', 71458),
(43, '8N7W3Q', '2020-01-08 14:13:54', '9593', 'JPY', '632032348', 24391),
(44, '6GAF9B', '2016-06-12 16:44:40', '8933', 'JPY', '987654321', 81426),
(45, 'OR28NM', '2019-02-08 04:54:53', '4005', 'CHF', '123456789', 72095),
(46, 'BNGGD8', '2019-04-26 10:02:41', '4172', 'CAD', '987654321', 31684),
(47, 'RO1DCU', '2019-06-10 17:58:55', '4452', 'EUR', '722003936', 75742),
(48, 'BZ3J3C', '2020-12-08 15:09:28', '5358', 'EUR', '347662454', 37708),
(49, '85PAT4', '2020-02-21 05:59:33', '6791', 'CAD', '384560942', 8265),
(50, 'CHSFZ4', '2016-03-09 10:44:34', '6014', 'EUR', '722003936', 47131),
(51, 'MVP48Y', '2020-04-26 13:17:04', '5620', 'EUR', '347662454', 6089),
(52, 'DS1KFT', '2016-06-28 13:14:42', '9911', 'AUD', '123456789', 24435),
(53, '02SCZX', '2018-07-29 10:14:56', '3623', 'AUD', '123456789', 92709),
(54, 'V1FXR7', '2020-07-03 03:07:32', '6340', 'EUR', '347662454', 29978),
(55, 'ZWS6UX', '2019-05-22 05:18:07', '1215', 'CHF', '123456789', 14260),
(56, 'G7LVDB', '2020-05-28 12:13:33', '5267', 'EUR', '384560942', 29266),
(57, 'PIIQQJ', '2020-02-23 02:51:39', '4117', 'EUR', '384560942', 96987),
(58, 'TQ9JJE', '2020-03-13 16:22:38', '8496', 'JPY', '123456789', 52386),
(59, 'TMGNA8', '2017-03-05 00:39:37', '4380', 'NZD', '123456789', 46787),
(60, 'C16O3F', '2018-01-04 18:30:01', '9974', 'GBP', '347662454', 1784),
